Name,Price,Brand,Rating,Reviews,Seller
"RGB Mechanical Keyboard K61 Detachable Wire, 61 Keys 60% Mechanical Gaming keyboard Blue switch",3799,No Brand,4.777777777777778,27,PERFECT WORLD
"AK61 Hot Swappable Mechanical Keyboard 60% Layout, Hot Swappable keys easy to reinstall Keys, Blue Switches,",5613.43,No Brand,4.735294117647059,34,AA Technologies (Karachi)
AULA F3261 Type-C Wired Hot Swappable 61 Keys RGB Mechanical Keyboard(White Grey ),8800,No Brand,4.857142857142857,7,Gaming store.pk (2)
Xtrike Me GK-989A TKL Mechanical Gaming Keyboard | Red Switches | Rainbow Backlit | USB Wired,4194,No Brand,5.0,1,Vital Plus
Au key KM G14 FULL RGB (ARGB) TKL 87 Keys Mechanical Gaming Keyboard – Blue Switches,1700,No Brand,,,Handmade and Precious 23
"Aula F87 Pro Wireless Mechanical Keyboard, Pre-Lubed Space Crystal Switches (Gradient Gray Side-Engraved Keycaps)",17900,No Brand,5.0,2,EG Distribution
jedel kl69 Rainbow Mechanical keyboard Wired Mechanical Rainbow Gaming Keyboard Red switch PAK FF,4250,No Brand,4.883720930232558,43,PAK FF TRADERS
"Redragon K710 Typewriter Style Mechanical Gaming Keyboard, Bluetooth/2.4Ghz/Wired, RGB Backlit, Rechargeable, Blue Switch - Clicky, Metal Panel, Round Keycaps, Black",1117.46,No Brand,5.0,1, Mujtaba Store 
"RGB Mechanical Gaming Keyboard – Blue Switches, Anti-Ghosting, USB Wired, Metal Panel, Multicolor Backlit (Full Size)",3900,No Brand,5.0,2,ZapCart
Wordsworth Mechanical Gaming Keyboard and Comfortable Mouse combo With RGB Lights - Black,3913.46,No Brand,4.5,30,Game For Slection
"Gaming Keyboard & Mouse Combo with Rechargeable Battery, Ultra-Compact Small RGB Mechanical Feel Keyboard, Ergonomic Lightweight Honeycomb Optical Mouse for Gaming/Business",1583.46,No Brand,4.75,4, Mujtaba Store 
"FunBug J209 Gaming Keyboard and Mouse Combo with RGB Side LED Panel - Mechanical Feeling Wired Keyboard & 2400 DPI Mouse with FREE Mouse Pad for Pubg Mobile, Laptop, PC Computer - 3 in 1 Gaming Bundle - Black, White, Green",2497,No Brand,5.0,0,The Gaming Bug
Eweadn MT75 – Mechanical Keyboard - 75% Tri-Mode,11500,No Brand,,,Nerdy Nest
"LDON Mide68 Pro Hall Effect Mechanical Keyboard – 65% Wired, 8K Polling, RGB Lightbox",11000,No Brand,5.0,1,Nerdy Nest
ONIKUMA G27 Chroma RGB Professional Blue Switch Mechanical Gaming Keyboard 104-Key Full Number Pad Keyboard Gaming - Black,1800,No Brand,,,Lovely Creations 76
"Attack Shark X87 RGB Wireless Mechanical Keyboard,Three-mode Connection, HIFI Sound Quality,Gasket Structure, Macro Driver Setup",18875.03,No Brand,,,Inferno Store
AULA S98 MECHANICAL KEYBOARD BLUE SWITCHES RGB MULTIPLE LIGHTS HIGH QUALITY PROFESSIONAL GAMING KEYBOARD,6899,No Brand,,,style hub (SH)
WORDSWORTH Gaming Mechanical Keyboard & Mouse Combo - RGB Backlit Keyboard & Mouse,6500,No Brand,5.0,5,ElectroDirect
"Jedel Gaming KL81 75% Mechanical Keyboard with Knob – Gasket Mount, Linear Switches",8500,JEDEL,,,Nerdy Nest
"AULA F87 Wireless Mechanical Keyboard, 75% Gasket Hot Swappable Custom Keyboard – Glacial Blue – LEOBOG Greywood V3 Switch",14520,No Brand,5.0,1,EG Distribution
Gaming Keyboard Semi Mechanical Adjustable Breathing RGB Backlight Ultra Thin Metal Gaming Keyboard,2049,No Brand,4.792207792207792,77,Z&F Traders
Xtrike Me Gk-916 Rainbow RGB 60% Wired Mechanical Gaming Keyboard Red Switch 61 Keys,4199,No Brand,5.0,1,Smart Gadgets (Lahore)
"DEFENDER BREATH GK 184 RGB Gmaing keyboard Semi Mechanical Feeling RGB Gaming Keyboards and Cool LED Backlighting for PC Gaming Typing, Laptop keyboard PAK FF",2199,No Brand,4.75,88,PAK FF TRADERS
Yilima Gaming Keyboard Semi Mechanical RGB Backlight Premium Quality Keyboard With RGB Gaming Mouse Combo Pack,2249,No Brand,4.51131221719457,221,Z&F Traders
"Wireless Mechanical Gaming Keyboard – Redragon K688 Pro 78 Keys Compact RGB Backlit Mechanical Keyboard with Yellow Switches, Hot-Swappable Keys, Tri-Mode Bluetooth/2.4GHz/USB-C Wired 75% Rechargeable Keyboard for PC & Laptop – Best RGB Gaming Keyboard",7500,No Brand,5.0,6,.dotbox.pk
AULA F3001 Wireless Mechanical Gaming Keyboard 87 Key Three-Modes 2.4G/Bluetooth/Wired,7999,No Brand,4.0,1,Daily Haul
Mechanical Keyboard FanTech (Atom 63) | Red And Blue Switch | RGB Lighting Keyboard Mechanical | Lighting Keyboard for Gaming,8600,No Brand,5.0,1,ClassyTech
Xtrike Me GK-989A Wired TKL Mechanical Gaming Keyboard Red Switches,5575,No Brand,5.0,1,One Tech 
mechanical keyboard blue switch 87 keys rgb ergonomic gaming keyboard E-YOOSO Z-66 mechanical keyboard,4999,No Brand,5.0,5,R&F TRADERS
"Mini 60% Gaming Keyboard, Upgrade RGB Backlit 61 Key Ultra-Compact Keyboard, TS91 Ergonomic Waterproof Mechanical Feeling Office Computer Keyboard for PC, MAC, PS4, Xbox ONE Gamer",4999,No Brand,,, Mujtaba Store 
Rainbow Mechanical keyboard Jedel KL69 Gaming Mechanical Keyboard –red Switches – Rainbow LED Lighting 61 keys,4583.04,No Brand,5.0,2,SGD Gadgets
61 Keys Keyboards RGB Backlit Gamer Mechanical Keyboards 2.4G Wireless Keyboards for Desktop Tablet Laptop,1800,No Brand,1.0,1,Lovely Creations 76
"Wireless Gaming Keyboard RED Light keyboard, blue Switch, a versatile mechanical keyboard that offers WIRELESS connectivity. Featuring real RGB backlighting and 61 custom keys, this compact 60% TO 70% keyboard, 2.4G and 3 Bluetooth connection support",4800,No Brand,4.833333333333333,156,NSW Traders
keyboard mouse G21 USB Wired Gol button keys104  Flexible Polychromatic LED Lights Computer Mechanical Feel Backlit Keyboard Mouse set PAK FF,2230,No Brand,5.0,1,PAK FF TRADERS
"AULA F99 Pro Wireless Mechanical Keyboard, 96% Gasket Hot Swappable Custom Keyboard – Thunder Black – Star Vector Switch",18392,No Brand,4.5,2,EG Distribution
Gaming RGB Keyboard | Mechanical Feel | LED Backlight | USB Wired | Ergonomic Design for PC & Laptop,1850,No Brand,,,Harshay trader
MECHANICAL GAMING KEYBOARD 87 KEYS K817 BLUE SWITCH HIGH QUALINTY,4199,No Brand,4.983333333333333,60,PERFECT WORLD
XTRIKE ME GK-989 A WIRED KEYBOARD TKL MECHANICAL GAMING KEYBOARD,4499,No Brand,,,shirtandtie
RGB Gaming Keyboard - Mechanical Keyboard Blue Switch Wired / Wireless Mini RGB Keyboard 87 Keys With & With Out Numpad - RGB Light Mechanical Keyboard Black/White - Detachable TYPE-C Wired/Wireless For Professional Gaming - Compatible With PC & Laptop,3999,No Brand,4.615384615384615,78,Gizmo SM Enterprise
XTRIKE ME GK-989 A WIRED KEYBOARD TKL MECHANICAL GAMING KEYBOARD,4999,No Brand,5.0,1,ISMAEL TRADERS   IST