Name,Price,Brand,Page
"RGB Mechanical Keyboard K61 Detachable Wire, 61 Keys 60% Mechanical Gaming keyboard Blue switch",3799,No Brand,1
"Red Dragon Keyboard K688 RGB Mechanical Gaming Keyboard – 78 Keys, Hot-Swappable red Switches, Compact Ergonomic Design",8500,No Brand,1
"AK61 Hot Swappable Mechanical Keyboard 60% Layout, Hot Swappable keys easy to reinstall Keys, Blue Switches,",5613.43,No Brand,1
AULA F3261 Type-C Wired Hot Swappable 61 Keys RGB Mechanical Keyboard(White Grey ),8800,No Brand,1
Xtrike Me GK-989A TKL Mechanical Gaming Keyboard | Red Switches | Rainbow Backlit | USB Wired,4194,No Brand,1
Au key KM G14 FULL RGB (ARGB) TKL 87 Keys Mechanical Gaming Keyboard – Blue Switches,1700,No Brand,1
"Aula F87 Pro Wireless Mechanical Keyboard, Pre-Lubed Space Crystal Switches (Gradient Gray Side-Engraved Keycaps)",17900,No Brand,1
jedel kl69 Rainbow Mechanical keyboard Wired Mechanical Rainbow Gaming Keyboard Red switch PAK FF,4250,No Brand,1
"Redragon K710 Typewriter Style Mechanical Gaming Keyboard, Bluetooth/2.4Ghz/Wired, RGB Backlit, Rechargeable, Blue Switch - Clicky, Metal Panel, Round Keycaps, Black",1117.46,No Brand,1
"RGB Mechanical Gaming Keyboard – Blue Switches, Anti-Ghosting, USB Wired, Metal Panel, Multicolor Backlit (Full Size)",3900,No Brand,1
Wordsworth Mechanical Gaming Keyboard and Comfortable Mouse combo With RGB Lights - Black,3913.46,No Brand,1
"Gaming Keyboard & Mouse Combo with Rechargeable Battery, Ultra-Compact Small RGB Mechanical Feel Keyboard, Ergonomic Lightweight Honeycomb Optical Mouse for Gaming/Business",1583.46,No Brand,1
"FunBug J209 Gaming Keyboard and Mouse Combo with RGB Side LED Panel - Mechanical Feeling Wired Keyboard & 2400 DPI Mouse with FREE Mouse Pad for Pubg Mobile, Laptop, PC Computer - 3 in 1 Gaming Bundle - Black, White, Green",2497,No Brand,1
Eweadn MT75 – Mechanical Keyboard - 75% Tri-Mode,11500,No Brand,1
"LDON Mide68 Pro Hall Effect Mechanical Keyboard – 65% Wired, 8K Polling, RGB Lightbox",11000,No Brand,1
ONIKUMA G27 Chroma RGB Professional Blue Switch Mechanical Gaming Keyboard 104-Key Full Number Pad Keyboard Gaming - Black,1800,No Brand,1
"Attack Shark X87 RGB Wireless Mechanical Keyboard,Three-mode Connection, HIFI Sound Quality,Gasket Structure, Macro Driver Setup",18875.03,No Brand,1
AULA S98 MECHANICAL KEYBOARD BLUE SWITCHES RGB MULTIPLE LIGHTS HIGH QUALITY PROFESSIONAL GAMING KEYBOARD,6899,No Brand,1
WORDSWORTH Gaming Mechanical Keyboard & Mouse Combo - RGB Backlit Keyboard & Mouse,6500,No Brand,1
"Jedel Gaming KL81 75% Mechanical Keyboard with Knob – Gasket Mount, Linear Switches",8500,JEDEL,1
"AULA F87 Wireless Mechanical Keyboard, 75% Gasket Hot Swappable Custom Keyboard – Glacial Blue – LEOBOG Greywood V3 Switch",14520,No Brand,1
Gaming Keyboard Semi Mechanical Adjustable Breathing RGB Backlight Ultra Thin Metal Gaming Keyboard,2049,No Brand,1
Xtrike Me Gk-916 Rainbow RGB 60% Wired Mechanical Gaming Keyboard Red Switch 61 Keys,4199,No Brand,1
"DEFENDER BREATH GK 184 RGB Gmaing keyboard Semi Mechanical Feeling RGB Gaming Keyboards and Cool LED Backlighting for PC Gaming Typing, Laptop keyboard PAK FF",2199,No Brand,1
Yilima Gaming Keyboard Semi Mechanical RGB Backlight Premium Quality Keyboard With RGB Gaming Mouse Combo Pack,2249,No Brand,1
"Wireless Mechanical Gaming Keyboard – Redragon K688 Pro 78 Keys Compact RGB Backlit Mechanical Keyboard with Yellow Switches, Hot-Swappable Keys, Tri-Mode Bluetooth/2.4GHz/USB-C Wired 75% Rechargeable Keyboard for PC & Laptop – Best RGB Gaming Keyboard",7500,No Brand,1
AULA F3001 Wireless Mechanical Gaming Keyboard 87 Key Three-Modes 2.4G/Bluetooth/Wired,7999,No Brand,1
Mechanical Keyboard FanTech (Atom 63) | Red And Blue Switch | RGB Lighting Keyboard Mechanical | Lighting Keyboard for Gaming,8600,No Brand,1
Xtrike Me GK-989A Wired TKL Mechanical Gaming Keyboard Red Switches,5575,No Brand,1
mechanical keyboard blue switch 87 keys rgb ergonomic gaming keyboard E-YOOSO Z-66 mechanical keyboard,4999,No Brand,1
"Mini 60% Gaming Keyboard, Upgrade RGB Backlit 61 Key Ultra-Compact Keyboard, TS91 Ergonomic Waterproof Mechanical Feeling Office Computer Keyboard for PC, MAC, PS4, Xbox ONE Gamer",4999,No Brand,1
Rainbow Mechanical keyboard Jedel KL69 Gaming Mechanical Keyboard –red Switches – Rainbow LED Lighting 61 keys,4583.04,No Brand,1
61 Keys Keyboards RGB Backlit Gamer Mechanical Keyboards 2.4G Wireless Keyboards for Desktop Tablet Laptop,1800,No Brand,1
"Wireless Gaming Keyboard RED Light keyboard, blue Switch, a versatile mechanical keyboard that offers WIRELESS connectivity. Featuring real RGB backlighting and 61 custom keys, this compact 60% TO 70% keyboard, 2.4G and 3 Bluetooth connection support",4800,No Brand,1
keyboard mouse G21 USB Wired Gol button keys104  Flexible Polychromatic LED Lights Computer Mechanical Feel Backlit Keyboard Mouse set PAK FF,2230,No Brand,1
"AULA F99 Pro Wireless Mechanical Keyboard, 96% Gasket Hot Swappable Custom Keyboard – Thunder Black – Star Vector Switch",18392,No Brand,1
Gaming RGB Keyboard | Mechanical Feel | LED Backlight | USB Wired | Ergonomic Design for PC & Laptop,1850,No Brand,1
MECHANICAL GAMING KEYBOARD 87 KEYS K817 BLUE SWITCH HIGH QUALINTY,4199,No Brand,1
XTRIKE ME GK-989 A WIRED KEYBOARD TKL MECHANICAL GAMING KEYBOARD,4499,No Brand,1
RGB Gaming Keyboard - Mechanical Keyboard Blue Switch Wired / Wireless Mini RGB Keyboard 87 Keys With & With Out Numpad - RGB Light Mechanical Keyboard Black/White - Detachable TYPE-C Wired/Wireless For Professional Gaming - Compatible With PC & Laptop,3999,No Brand,1
"Original Gaming Keyboard RGB with Mechanical Feeling - Wired Waterproof Keyboard and Mouse Combo for Gaming & Working with FREE Mouse Pad for Mobile PUBG, Laptop PC Computer Gaming - 104 Keys - Black Color By Panorama.",2040.14,No Brand,2
DLJP005 104 Keys Full-Size Mechanical Feel RGB Backlit Gaming Keyboard for PC or Laptop,1600,No Brand,2
"ProtoArc Backlit Bluetooth Foldable Keyboard, XK01 Plus Folding Portable Bluetooth Keyboard for Travel",11990,No Brand,2
Full Mechanical RGB Backlit Keyboard (NEW ADITION) 100% SAME AS SHOWN SALE PRICE,1850,No Brand,2
"RGB Gaming Keyboard and Mouse and Headphones Combo with FREE Mousepad in Low price ~ Mechanical Feeling Gaming Key Board with 7 light RGB Gaming Mouse ~ Wired Keyboards for Mobile Gaming, Pubg, Laptop, PC, Minecraft, Xbox - 112 Keys - By FunBug",2997,No Brand,2
Gaming Keyboard & Mouse  RGB Keyboard & RGB Mouse Wired Combo Pack Semi  Mechanical,2097,No Brand,2
Full Mechanical RGB Backlit Keyboard (NEW ADITION) 100% SAME AS SHOWN SALE PRICE,1850,No Brand,2
JEDEL K510 GAMING RGB WIRED KEYBOARD ERGONOMIC High Quality Soft Button Light Weight Decorative Design Smart Gadget Keyboard RGB Gaming Keyboard - Jedel,1800,No Brand,2
"RGB Gaming Keyboard USB Wired – Mechanical Feel Keys with LED Backlight, Plastic Body, Black Color, Braided Cable – Budget-Friendly Pro Gaming Keyboard for Laptop, PC, Office & Gaming Setup",1495,No Brand,2
RGB Gaming Keyboard for PC & Laptop  Mechanical Feel Keys  Anti-Ghosting  Ergonomic & Spill-Resistant Design  Fast Response  USB Wired  Quiet Typing  Compatible with Windows & Mac,1832,No Brand,2
"Metal RGB Gaming Keyboard with Phone Holder  Strong Metal Aluminum Panel Keyboard with 19 Anti-Ghosting Keys, UV Laser Carved Floating Keys, Water Splash Resistant Wired Mechanical Keyboard for PC, Laptop, PS4, Xbox - Unique Mall",2162,No Brand,2
Gaming Keyboard & Mouse RGB Keyboard & RGB Mouse Wired Combo Pack Semi Mechanical,1647,No Brand,2
"{ Panorama } RGB Gaming Keyboard – Mechanical Feel Keyboard with FN Shortcuts, 104 Keys , Waterproof Design, Rainbow Backlight & Single Color – Connect with PC, Laptop , and other Systems - USB Key Board in Pakistan",2179.94,No Brand,2
"【Transparent】RGB Gaming Keyboard with Crystal Casing | Mechanical Feel Wired LED Backlit Keyboard for PC, Laptop - Water Proof & Floating Keycaps Design | Vibrant RGB Rainbow Light 104 Key Layout",1872,No Brand,2
Urdu keyboard slim & smart 100% orignal brand,1700,No Brand,2
Gaming Set MIX Pro /Mix Lite 4 IN 1 Mobile Game Combo Pack /Gaming Converter/Wired Gaming Keypad Ergonomic One-headed PUBG / shooting games with wire or with Bluetooth connection,1800,No Brand,2
Wireless Keyboard 9in Ultraslim W/ Touchpad For PC IOS,1699,No Brand,2
HP GK100F Real Mechanical Keyboard Gaming Blue Switch GK100 F,1899,No Brand,2
Wireless Keyboard 9in Ultraslim W/ Touchpad For PC IOS,1699,No Brand,2
Gaming Set MIX Pro /Mix Lite 4 IN 1 Mobile Game Combo Pack /Gaming Converter/Wired Gaming Keypad Ergonomic One-headed PUBG / shooting games with wire or with Bluetooth connection,1800,No Brand,2
Gaming Set MIX Pro /Mix Lite 4 IN 1 Mobile Game Combo Pack /Gaming Converter/Wired Gaming Keypad Ergonomic One-headed PUBG / shooting games with wire or with Bluetooth connection,1800,No Brand,2
Urdu keyboard slim & smart 100% orignal brand,1700,No Brand,2
"3in1 Gaming Setup! Mechanical Feeling RGB Gaming Keyboard and Mouse with 3 DPI Levels Combo with MousePad  - Backlight Gaming Key Board, Mouse, Mouse Pad,  in Low Price - For Pubg Mobile Laptop PC Computer Game & free mousepad",2049,No Brand,2
"RGB Backlit Metal Gaming Keyboard USB Wired – Mechanical Feel Keyboard with LED Light Effects, Anti-Ghosting, Multimedia Keys, Heavy Duty Metal Frame, Ergonomic Design for Laptop, PC, Office & Gaming",2162,No Brand,2
Jelly Comb Multi Device Rechargeable Wireless Bluetooth Keyboard,1800,No Brand,2
【TOP-RATED】 Gaming Keyboard RGB with Mechanical Feeling - Wired Waterproof Keyboard and Mouse Combo for Gaming & Working with FREE Mouse Pad for Mobile Pubg Laptop PC Computer Gaming - 112 Keys - Black Color By FunBug,2047.6,FUNBUG,2
Redragon K630W Wired 60% Gaming Mechanical Keyboard with Pink Backlite and USB type C Cable Brown Switches,1700,No Brand,2
Redragon K630W Wired 60% Gaming Mechanical Keyboard with Pink Backlite and USB type C Cable Brown Switches,1699,No Brand,2
Logitech K380 Multi Device Bluetooth Keyboard Small Compact Design Grey,1700,No Brand,2
308i Wireless Bluetooth Keyboard,1899,No Brand,2
Gaming Keyboard BlackWidow V3 TKL Mechanical Gaming Keyboard: Yellow Mechanical Switches Linear & Silent - Chroma RGB - Compact Form Factor - Programmable Macros Snap Tap,4599,No Brand,2
XTRIKE ME GK-989 A WIRED KEYBOARD TKL MECHANICAL GAMING KEYBOARD,4999,No Brand,2
Pksmart k104 pro back light gaming mechanical keyboard full lay out mechanical keyboard blue switch gaming keyboard pk smart argb gaming keyboard mechanical wrist pad volume control button (black & white) colour,6097.43,No Brand,2
Redragon K630W Wired 60% Gaming Mechanical Keyboard with Pink Backlite and USB type C Cable Brown Switches,1700,No Brand,2
"Redragon K688 Gaming Mechanical Keyboard with 78 keys, blue backlit lighting, hot-swappable anti-dust proof switches, ergonomic compact design, durable build, and fast response for PC gaming, laptops, FPS, MOBA, and professional typing performance.",6900,No Brand,2
OCG Mechanical Keyboard blue Switches,5500,No Brand,2
"RGB Gaming Keyboard Wired for PC, Laptop & Mac  Mechanical Feel Keys  Anti-Ghosting & Ergonomic Design  Quiet Typing  Spill-Resistant  Fast USB Response  Backlit LED Keyboard  Windows & Mac Compatible  Gamer Work Keyboard",1877,No Brand,2
HP GK100F ORIGINAL FULL MECHANICAL KEYBOARD - RGB & Breathing Lights - Blue Switch,5099,No Brand,2
K104 PRO Wired Mechanical Gaming  Keyboard  With RGB Lights - Black,4659.06,No Brand,2
LINGYI RGB MECHANICAL GAMING KEYBOARD WITH FREE MOUSEPAD,1700,No Brand,2
LINGYI RGB MECHANICAL GAMING KEYBOARD WITH FREE MOUSEPAD,1700,No Brand,3
Redragon K630W Wired 60% Gaming Mechanical Keyboard with Pink Backlite and USB type C Cable Brown Switches,1699,No Brand,3
Au key KM G14 FULL RGB (ARGB) TKL 87 Keys Mechanical Gaming Keyboard – Blue Switches,1899,No Brand,3
K12 Gaming Keyboard Full Mechanical Keyboard with Backlit RGB Keyboard Metal Body Professional Keyboard For Gaming,1700,No Brand,3
Best For Gaming - Gaming 4-in-1 Advanced Gaming Combo  For Gamers Keyboard Mouse Headset Mousepad Set Mechanical Feel Game 104 Keys Keyboards 1200DPI Mice Headphone Combos for PC Gamer Electro Accessories,3799,No Brand,3
Defender GK-184 semi mechanical RGB  keyboard USB wired keyboard for pc & laptop with wirst pad 87 Keys full Rgb,2142.66,No Brand,3
HP GK100F Real Mechanical Keyboard Wired Mixed Backlight Gaming Keyboard 104 Keys Anti-conflict Keyboard Adjustable LED Light For PC Office Home,1850,No Brand,3
"Best Gaming   Keyboard RGB - Cheap mechanical feeling, Membrane Back Light Key Board in Low Price (glowing luminous buttons) - Wired for mobile pubg Laptop PC Game",1899,No Brand,3
"RGB Backlight Gaming Keyboard USB Wired – Mechanical Feel Keyboard with LED Lights, Braided Cable, Latest Gaming Design, Ergonomic Pro Gaming Keyboard for Laptop, PC, Office & Gaming Setup - Unique Mall",1497,No Brand,3
Rainbow RGB MEGAKEY  Mechanical Gaming Keyboard  60% Mechanical Gaming Keyboard with Blue Switches Colorful Backlight Black and White Combination Keys,4562.72,No Brand,3
JEDEL K510 GAMING RGB WIRED KEYBOARD ERGONOMIC High Quality Soft Button Light Weight Decorative Design Smart Gadget Keyboard RGB Gaming Keyboard - Jedel,1800,No Brand,3
Wireless Keyboard 9in Ultraslim W/ Touchpad For PC IOS,1699,No Brand,3
Shipadoo Master D280 RGB Gaming Keyboard Mouse Semi Mechanical Keyboard With LED Backlighting For gamer Pc Typing Laptop  Keyboard Mouse 1600 DpI Black White,2499,No Brand,3
SHIPADOO Master D280 RGB Gaming Keyboard Mouse Set Semi Mechanical Keyboard With LED Backlighting For gemar PcTyping Laptop USE PUbg Free Fire Keyboard Mouse 1600 DpI Black White PAK FF,2249,No Brand,3
"RGB 4 in 1 Gaming Combo – Backlit Ergonomic Keyboard Mechanical Feel, RGB Mouse, Gaming Headset & Mouse Pad for PC & Laptop",4440,No Brand,3
USB wired slim keyboard for Gaming,1699,No Brand,3
2.4G Wireless Keyboard and Mouse Protable Mini Keyboard Mouse Combo Set For Notebook Laptop Mac Desktop PC Computer Smart TV PS4,1700,No Brand,3
Acer YKB913 Wired Membrane Keyboard Feel Like Mechanical for Notebooks and Desktops Laptop With RGB Lights,1383,No Brand,3
Gaming Set MIX Pro /Mix Lite 4 IN 1 Mobile Game Combo Pack /Gaming Converter/Wired Gaming Keypad Ergonomic One-headed PUBG / shooting games with wire or with Bluetooth connection,1800,No Brand,3
keyboard. Banda V3 semi mechanical RGB backlit gaming keyboard.,2199,No Brand,3
Alcatroz Xplorer M550 Gaming Keyboard (Black and Grey),1299,No Brand,3
Shipadoo Master D280 RGB Gaming Keyboard Mouse Semi Mechanical Keyboard With LED Backlighting For gamerr Pc Typing Laptop  Keyboard Mouse 1600 DpI Black & White,2249,No Brand,3
JEDEL K510 GAMING RGB WIRED KEYBOARD ERGONOMIC High Quality Soft Button Light Weight Decorative Design Smart Gadget Keyboard RGB Gaming Keyboard - Jedel,1800,No Brand,3
"[MECHANICAL KEYBOARD W] [WordsWorth Wired Keyboard Mouse Set – USB Plug & Play Combo for PC/Laptop – Office & Gaming Use""][MECHANICAL KEYBOARD WIRED KB600][""Wireless Mouse HP W10 Style – 2.4GHz Silent Click – USB Receiver for Laptop & PC–Budget Friendly""]",1090,No Brand,3
"RGB Gaming Keyboard and Mouse and Headphones Combo with FREE Mousepad in Low price ~ Mechanical Feeling Gaming Key Board with 7 light RGB Gaming Mouse ~ Wired Keyboards for Mobile Gaming, Pubg, Laptop, PC, Minecraft, Xbox - 112 Keys - By FunBug",2045.4,FUNBUG,3
"Motospeed CK104 RGB LED Backlit Wired red switch Mechanical Gaming Keyboard, 104 Keys Hot-Swap Mechanical Keyboard RGB colors",5807,No Brand,3
Gaming Wireless Keyboard / HK 8100 / Bluetooth Optical Mouse / Warranted / Combo / Ultra Slim / Ergonomic / High Speed 2.4 GHz / Super Fast 1600 dpi / Best Quality / Smart / Fashion / Stylish / Fancy / Mobile / Laptop / Desktop / PC,1699,No Brand,3
"【3 Colors】FunBug J209 Gaming Keyboard and Mouse Combo with RGB Side LED Panel - Mechanical Feeling Wired Keyboard & 2400 DPI Mouse with FREE Mouse Pad for Pubg Mobile, Laptop, PC Computer - 3 in 1 Gaming Bundle - Black, White, Green",2327.2,FUNBUG,3
"RGB Backlight Gaming Keyboard –USB Wired Plastic Body Mechanical Feel Keys, LED Gaming Design, Durable Braided Cable, Black Color – Low Budget Pro Gaming Keyboard for Laptop, PC & Office Setup",1495,No Brand,3
"Keyboard Case For Samsung Galaxy Tab S4 10.5 2018 Model Sm-T830/T835/T837, Slim Shell Lightweight Stand Cover With Detachable Wireless Bluetooth Keyboard, Black",1699,No Brand,3
AULA S2022 Wired Mechanical Gaming Keyboard With Different RGB Lights - Black,4193.06,No Brand,3
"4-in-1 Gaming Combo – Keyboard + Mouse + Headphone + Mouse Pad - Original Wired RGB Keyboard RGB  Mouse, Wired Headphone & Free Mouse Pad | Complete Gaming Setup for  PC & Laptop – Special Offer for Gamers, Streamers & Students - - 104 Keys",2175.28,No Brand,3
Wireless Keyboard With Touchpad Rechargeable Ultra Slim 3 Days Battery Timing For Tablet-Ipad-Laptop-Mobile-Smart led And Other devices,2599,No Brand,3
"FunBug GX-30 RGB Gaming Keyboard – Mechanical Feel Keyboard with FN Shortcuts, Waterproof Design, Rainbow Backlight – Gaming Key Board in Pakistan",1859.2,FUNBUG,3
85 Keys Portable Foldable Wired USB Mute Silicone Keyboard for Laptop/Computer,1899,No Brand,3
HP GK100F Real Mechanical Keyboard Gaming Blue Switch GK100 F,1699,No Brand,3
"MINI TOUCH PAD RF 500 WIRELESS WITH 3 COLOUR BACKLIGHT KEYBOARD MOUSE, Key Board, Mouse",1700,No Brand,3
"Redragon K688 RGB Mechanical Gaming Keyboard – 78 Keys, Hot-Swappable , Red & Blue Switches Compact Ergonomic Design RGB modes , (Gateron Red & blue switches) , anti-dust design,",7268.66,No Brand,3
"Wireless Keyboard Mouse Mini.2.4G Wireless Keyboard and Mouse Combo, Slim Multi Device Bluetooth Keyboard, Protable Silent Keyboards for PC Desktop Notebook Laptop , LED TV",1850,No Brand,3
Mechanical keyboard XECRET,1899,No Brand,3
